algorithm_name,board_size,runs,success_count,success_rate_pct,avg_cost,std_cost,avg_time,std_time,avg_states,std_states
GA,4,30,30,100.0,0.0,0.0,3.1312306722005207e-06,1.1692377398262349e-06,100,0.0
GA,8,30,18,60.0,0.4,0.49827287912243984,0.0128142515818278,0.010772001305464931,590,382.68560968772914
GA,10,30,6,20.0,0.9333333333333333,0.5832922809856746,0.02405682404836019,0.008412848323834954,933.3333333333334,168.83645082279116
GA,12,30,1,3.3333333333333335,1.2333333333333334,0.5040069329937309,0.028054308891296387,0.006057522765540231,990,54.772255750516614
GA,15,30,0,0.0,1.9333333333333333,0.6914918072835208,0.03140018781026204,0.004748123047096747,1000,0.0
HC,4,30,11,36.666666666666664,0.7333333333333333,0.639683829949492,0.00042688846588134766,0.000259498479933387,31.2,10.73312629199899
HC,8,30,5,16.666666666666664,1.1333333333333333,0.7302967433402214,0.0035633166631062825,0.001023941053911013,231.46666666666667,54.49943582962237
HC,10,30,1,3.3333333333333335,1.6,0.7239737088005909,0.007804226875305176,0.0029146554808602092,441,103.96783322175943
HC,12,30,3,10.0,1.6666666666666667,0.9589266029707683,0.01661524772644043,0.006488614122422662,766.2666666666667,167.732737604702
HC,15,30,0,0.0,3.1666666666666665,0.8742813140471172,0.02664625644683838,0.007571333393215031,1000,0.0
Random,4,30,30,100.0,0.0,0.0,0.0023819128672281902,0.002746007663979843,163.16666666666666,179.37825250365321
Random,8,30,0,0.0,2.033333333333333,0.41384099339733366,0.021349382400512696,0.007312197419711392,1000,0.0
Random,10,30,0,0.0,3.1666666666666665,0.5920934999167599,0.02489912509918213,0.008780968886637203,1000,0.0
Random,12,30,0,0.0,4.5,0.6822882392210131,0.031126674016316733,0.00765826060414842,1000,0.0
Random,15,30,0,0.0,6.366666666666666,0.8502873077655143,0.038522593180338544,0.011047807900095293,1000,0.0
SA,4,30,30,100.0,0.0,0.0,0.0034536043802897137,0.002527703068754893,107.23333333333333,72.71706308953777
SA,8,30,20,66.66666666666666,0.3333333333333333,0.47946330148538413,0.027595090866088866,0.015690000393336942,593.0666666666667,313.6815795250549
SA,10,30,15,50.0,0.5,0.5085476277156078,0.03680361906687419,0.01451788720647812,733.7,239.50554669266373
SA,12,30,8,26.666666666666668,0.7666666666666667,0.5040069329937309,0.05147638320922852,0.022629315115168313,812.8333333333334,215.4675883031956
SA,15,30,5,16.666666666666664,1.0666666666666667,0.639683829949492,0.06444528897603354,0.01653800774708724,886.6333333333333,122.53176458916003
