algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
DFS_limit_75,847362915,1405,0,0,0.0055833,False
DFS_limit_75,192837465,2164,0,0,0.0087051,False
DFS_limit_75,374829105,1011,0,0,0.0040815,False
DFS_limit_75,2837465920,1578,0,0,0.0066435,False
DFS_limit_75,918273645,2189,0,0,0.0082328,False
DFS_limit_75,657483920,499,75,453,19.3475251,True
DFS_limit_75,1203948576,2219,75,561,19.3520958,True
DFS_limit_75,847362918,887,0,0,0.0036588,False
DFS_limit_75,938475610,783,0,0,0.0031576,False
DFS_limit_75,1230984756,2710,0,0,0.0105755,False
DFS_limit_75,564738295,1249,0,0,0.0050788,False
DFS_limit_75,2039485790,1350,0,0,0.0054433,False
DFS_limit_75,918273640,1344,68,482,17.6492248,True
DFS_limit_75,1298374610,1259,57,516,14.7525651,True
DFS_limit_75,283746599,861,75,489,19.2805905,True
DFS_limit_75,192837460,1703,0,0,0.0068088,False
DFS_limit_75,374829100,1078,0,0,0.0042274,False
DFS_limit_75,847362900,1597,0,0,0.0069909,False
DFS_limit_75,1092837400,1037,0,0,0.0045407,False
DFS_limit_75,657483900,2550,0,0,0.0106740,False
DFS_limit_75,1203948500,2356,0,0,0.0105155,False
DFS_limit_75,2039485700,2110,74,578,19.0853052,True

DFS_limit_100,384927102,1958,0,0,0.0080118,False
DFS_limit_100,1298374650,4907,100,802,25.5126281,True
DFS_limit_100,298374651,3437,0,0,0.0137100,False
DFS_limit_100,1827364512,382,0,0,0.0017762,False
DFS_limit_100,938475612,2042,89,629,22.7855299,True
DFS_limit_100,564738291,516,0,0,0.0021136,False
DFS_limit_100,2039485761,2021,77,617,19.7640610,True
DFS_limit_100,1092837465,3371,0,0,0.0135002,False
DFS_limit_100,847362915,2587,0,0,0.0103688,False
DFS_limit_100,192837465,3382,100,748,25.6340597,True
DFS_limit_100,374829105,1682,0,0,0.0068619,False
DFS_limit_100,2837465920,2868,0,0,0.0121334,False
DFS_limit_100,918273645,2671,0,0,0.0109646,False
DFS_limit_100,657483920,625,63,459,16.3447046,True
DFS_limit_100,1203948576,2978,0,0,0.0120165,False
DFS_limit_100,847362918,552,0,0,0.0024304,False
DFS_limit_100,938475610,849,0,0,0.0035353,False
DFS_limit_100,1230984756,3403,0,0,0.0144904,False
DFS_limit_100,564738295,90,89,539,22.8612967,True
DFS_limit_100,2039485790,1767,0,0,0.0074315,False
DFS_limit_100,918273640,1921,100,748,25.5751383,True
DFS_limit_100,1298374610,2846,27,252,7.2857821,True
DFS_limit_100,283746599,1211,99,639,25.2907374,True
DFS_limit_100,192837460,2723,0,0,0.0120058,False
DFS_limit_100,374829100,1488,0,0,0.0061340,False
DFS_limit_100,847362900,2408,0,0,0.0094409,False
DFS_limit_100,1092837400,1208,0,0,0.0049894,False
DFS_limit_100,657483900,3212,0,0,0.0128913,False
