name,seed,size,initial_board,final_board,duration,states
backtracking,1092837465,12,"[5, 11, ?, ?, 4, ?, ?, ?, ?, ?, ?, ?]","[5, 11, 0, 6, 4, 2, 10, 8, 3, 1, 9, 7]",0.0007011890411376953,415
backtracking,1092837465,15,"[14, 8, ?, ?, ?, ?, ?, ?, ?, ?, ?, 9, ?, ?, ?]","[14, 8, 1, 3, 0, 7, 12, 10, 2, 13, 5, 9, 4, 6, 11]",0.0025298595428466797,1646

backtracking,847362915,4,"[1, ?, ?, ?]","[1, 3, 0, 2]",2.384185791015625e-05,8
backtracking,847362915,8,"[5, 3, ?, ?, ?, ?, ?, ?]","[5, 3, 0, 4, 7, 1, 6, 2]",0.000125885009765625,26
backtracking,847362915,10,"[?, ?, ?, 8, ?, 5, ?, ?, ?, ?]","[1, 7, 4, 8, 0, 5, 9, 2, 6, 3]",0.0003039836883544922,380
backtracking,847362915,12,"[?, 3, ?, 0, ?, 4, ?, ?, ?, ?, ?, ?]","[5, 3, 8, 0, 7, 4, 10, 1, 6, 9, 11, 2]",0.004155874252319336,4076
backtracking,847362915,15,"[?, 10, ?, 14, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 13]","[0, 10, 5, 14, 6, 11, 2, 12, 1, 4, 8, 3, 9, 7, 13]",0.050682783126831055,46535

backtracking,192837465,4,"[?, ?, 0, ?]","[1, 3, 0, 2]",2.0265579223632812e-05,9
backtracking,192837465,8,"[?, 4, ?, ?, ?, ?, ?, 0]","[2, 4, 1, 7, 5, 3, 6, 0]",0.00011038780212402344,134
backtracking,192837465,10,"[0, ?, ?, ?, ?, 7, ?, ?, ?, ?]","[0, 4, 6, 1, 9, 7, 3, 8, 2, 5]",0.0005366802215576172,656
backtracking,192837465,12,"[4, ?, ?, 2, ?, 1, ?, ?, ?, ?, ?, ?]","[4, 6, 8, 2, 7, 1, 3, 9, 0, 10, 5, 11]",0.0014581680297851562,968
backtracking,192837465,15,"[13, ?, ?, ?, ?, 10, ?, ?, ?, 0, ?, ?, ?, ?, ?]","[13, 1, 3, 5, 7, 10, 4, 11, 14, 0, 6, 8, 2, 12, 9]",0.0010602474212646484,619

backtracking,374829105,4,"[?, ?, 2, ?]",null,2.7418136596679688e-05,16
backtracking,374829105,8,"[?, ?, ?, ?, 7, ?, ?, 2]","[0, 6, 3, 5, 7, 1, 4, 2]",0.00011515617370605469,145
backtracking,374829105,10,"[?, ?, ?, 1, ?, ?, 3, ?, ?, ?]","[0, 4, 6, 1, 9, 7, 3, 8, 2, 5]",0.00025963783264160156,329
backtracking,374829105,12,"[?, ?, ?, 10, 3, ?, ?, ?, 11, ?, ?, ?]","[0, 5, 7, 10, 3, 6, 2, 9, 11, 1, 8, 4]",0.0004506111145019531,435
backtracking,374829105,15,"[?, 8, ?, ?, ?, ?, 14, ?, ?, ?, ?, ?, ?, ?, 3]","[0, 8, 1, 5, 10, 6, 14, 12, 2, 4, 13, 7, 9, 11, 3]",0.007898569107055664,6557

backtracking,2837465920,4,"[?, 2, ?, ?]",null,1.4543533325195312e-05,8
backtracking,2837465920,8,"[?, ?, ?, ?, 0, 6, ?, ?]","[2, 4, 1, 7, 0, 6, 3, 5]",5.745887756347656e-05,36
backtracking,2837465920,10,"[1, ?, ?, ?, 9, ?, ?, ?, ?, ?]","[1, 3, 5, 7, 9, 0, 2, 4, 6, 8]",0.0002772808074951172,293
backtracking,2837465920,12,"[0, ?, 3, ?, ?, ?, ?, ?, ?, ?, ?, 8]","[0, 5, 3, 9, 7, 10, 2, 6, 1, 11, 4, 8]",0.0015208721160888672,1540
backtracking,2837465920,15,"[12, ?, ?, ?, 11, ?, ?, ?, ?, ?, ?, 14, ?, ?, ?]","[12, 0, 2, 7, 11, 3, 8, 4, 13, 10, 6, 14, 1, 5, 9]",0.007437944412231445,5315

backtracking,918273645,4,"[?, ?, ?, 3]",null,2.5033950805664062e-05,16
backtracking,918273645,8,"[?, ?, ?, 6, ?, 2, ?, ?]",null,0.0005197525024414062,440
backtracking,918273645,10,"[?, ?, 2, 4, ?, ?, ?, ?, ?, ?]","[3, 7, 2, 4, 6, 9, 0, 5, 1, 8]",0.00048732757568359375,397
backtracking,918273645,12,"[?, ?, ?, ?, ?, ?, 2, 7, ?, 3, ?, ?]","[1, 9, 4, 6, 11, 0, 2, 7, 5, 3, 8, 10]",0.002213001251220703,1683
backtracking,918273645,15,"[?, ?, 2, 5, ?, ?, ?, ?, ?, ?, ?, ?, 13, ?, ?]","[3, 0, 2, 5, 11, 9, 14, 12, 4, 1, 8, 6, 13, 10, 7]",0.010339498519897461,7177

backtracking,657483920,4,"[?, ?, 2, ?]",null,3.6716461181640625e-05,16
backtracking,657483920,8,"[?, ?, ?, 5, 0, ?, ?, ?]","[3, 1, 7, 5, 0, 2, 4, 6]",7.009506225585938e-05,77
backtracking,657483920,10,"[?, ?, ?, ?, 1, ?, 4, ?, ?, ?]","[0, 3, 6, 9, 1, 8, 4, 2, 7, 5]",0.00034046173095703125,418
backtracking,657483920,12,"[?, 9, ?, ?, 1, ?, ?, ?, 8, ?, ?, ?]","[2, 9, 6, 10, 1, 4, 11, 0, 8, 3, 5, 7]",0.0002856254577636719,309
backtracking,657483920,15,"[?, ?, ?, ?, ?, ?, 10, ?, 9, ?, ?, 11, ?, ?, ?]","[2, 0, 7, 12, 14, 3, 10, 4, 9, 5, 13, 11, 1, 8, 6]",0.0035316944122314453,2217

backtracking,1203948576,4,"[?, ?, 0, ?]","[1, 3, 0, 2]",2.5272369384765625e-05,9
backtracking,1203948576,8,"[0, ?, ?, ?, ?, ?, 1, ?]","[0, 4, 7, 5, 2, 6, 1, 3]",0.0001518726348876953,153
backtracking,1203948576,10,"[4, 9, ?, ?, ?, ?, ?, ?, ?, ?]","[4, 9, 0, 5, 3, 1, 7, 2, 8, 6]",0.0014407634735107422,720
backtracking,1203948576,12,"[3, 8, ?, ?, ?, ?, ?, ?, 9, ?, ?, ?]","[3, 8, 0, 7, 4, 10, 1, 6, 9, 11, 2, 5]",0.0015532970428466797,1231
backtracking,1203948576,15,"[14, 8, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 2]","[14, 8, 0, 3, 9, 6, 12, 10, 4, 1, 5, 13, 11, 7, 2]",0.014357566833496094,9693

backtracking,847362918,4,"[?, ?, 0, ?]","[1, 3, 0, 2]",1.811981201171875e-05,9
backtracking,847362918,8,"[?, ?, ?, 6, ?, ?, 1, ?]","[2, 7, 3, 6, 0, 5, 1, 4]",0.000133514404296875,163
backtracking,847362918,10,"[?, 0, ?, ?, ?, ?, ?, 1, ?, ?]","[4, 0, 7, 9, 2, 5, 8, 1, 3, 6]",0.0019757747650146484,2362
backtracking,847362918,12,"[?, 9, ?, ?, ?, ?, ?, ?, 11, ?, 6, ?]","[1, 9, 7, 10, 4, 2, 0, 5, 11, 8, 6, 3]",0.0065479278564453125,6589
backtracking,847362918,15,"[?, ?, ?, ?, ?, ?, 12, ?, ?, ?, ?, ?, 13, ?, 3]","[0, 4, 6, 8, 11, 14, 12, 9, 1, 5, 2, 10, 13, 7, 3]",0.005113840103149414,4919

backtracking,938475610,4,"[?, ?, 2, ?]",null,2.002716064453125e-05,16
backtracking,938475610,8,"[?, 5, ?, ?, ?, ?, ?, 0]","[2, 5, 3, 1, 7, 4, 6, 0]",0.0001049041748046875,125
backtracking,938475610,10,"[?, ?, ?, ?, 5, ?, ?, ?, 0, ?]","[2, 4, 1, 8, 5, 9, 6, 3, 0, 7]",7.510185241699219e-05,78
backtracking,938475610,12,"[?, ?, ?, ?, 6, 8, ?, ?, ?, ?, 5, ?]","[0, 2, 9, 11, 6, 8, 3, 1, 4, 7, 5, 10]",0.00035500526428222656,284
backtracking,938475610,15,"[?, 0, ?, ?, ?, 2, ?, ?, ?, ?, ?, ?, 13, ?, ?]","[3, 0, 4, 7, 9, 2, 12, 14, 1, 5, 10, 6, 13, 11, 8]",0.0017211437225341797,1692

backtracking,1230984756,4,"[?, 1, ?, ?]",null,1.4066696166992188e-05,8
backtracking,1230984756,8,"[?, ?, ?, ?, ?, 4, 7, ?]","[5, 1, 6, 0, 2, 4, 7, 3]",0.0001480579376220703,199
backtracking,1230984756,10,"[?, ?, ?, ?, ?, ?, 6, 8, ?, ?]","[2, 4, 9, 7, 3, 1, 6, 8, 5, 0]",0.0004127025604248047,499
backtracking,1230984756,12,"[?, ?, ?, ?, ?, ?, 4, 11, ?, ?, ?, 0]","[8, 1, 5, 2, 10, 7, 4, 11, 9, 6, 3, 0]",0.005513429641723633,6516
backtracking,1230984756,15,"[?, ?, ?, ?, 12, ?, ?, 7, ?, ?, ?, 8, ?, ?, ?]","[1, 3, 5, 10, 12, 0, 4, 7, 13, 2, 14, 8, 11, 9, 6]",0.0025336742401123047,2100

backtracking,564738295,4,"[?, ?, 2, ?]",null,2.0265579223632812e-05,16
backtracking,564738295,8,"[?, ?, ?, 3, 6, ?, ?, ?]","[4, 2, 7, 3, 6, 0, 5, 1]",0.00015783309936523438,209
backtracking,564738295,10,"[?, ?, ?, ?, ?, ?, ?, 6, ?, 3]","[2, 7, 5, 8, 0, 9, 4, 6, 1, 3]",0.0033922195434570312,4054
backtracking,564738295,12,"[?, ?, ?, ?, 0, ?, 8, ?, ?, 3, ?, ?]","[1, 6, 9, 7, 0, 11, 8, 2, 5, 3, 10, 4]",0.0012619495391845703,928
backtracking,564738295,15,"[?, 9, ?, ?, ?, ?, 1, ?, ?, ?, ?, ?, ?, ?, 6]","[0, 9, 3, 5, 14, 8, 1, 12, 4, 13, 7, 10, 2, 11, 6]",0.015941143035888672,11021

backtracking,2039485790,4,"[?, ?, 2, ?]",null,2.002716064453125e-05,16
backtracking,2039485790,8,"[?, ?, ?, ?, ?, ?, 3, 5]","[2, 0, 6, 4, 7, 1, 3, 5]",0.0002880096435546875,354
backtracking,2039485790,10,"[?, ?, 2, ?, ?, ?, ?, ?, ?, 3]","[1, 5, 2, 6, 9, 0, 8, 4, 7, 3]",0.00024437904357910156,298
backtracking,2039485790,12,"[?, ?, ?, ?, ?, ?, ?, 3, ?, 6, 9, ?]","[0, 5, 10, 4, 7, 11, 8, 3, 1, 6, 9, 2]",0.002186298370361328,2013
backtracking,2039485790,15,"[?, ?, ?, ?, 3, ?, ?, ?, ?, ?, 7, ?, ?, 2, ?]","[0, 4, 10, 8, 3, 1, 12, 14, 6, 11, 7, 5, 13, 2, 9]",0.011406421661376953,10380

backtracking,918273640,4,"[?, ?, ?, 2]","[1, 3, 0, 2]",2.956390380859375e-05,15
backtracking,918273640,8,"[0, ?, ?, ?, 1, ?, ?, ?]","[0, 6, 4, 7, 1, 3, 5, 2]",0.0002295970916748047,273
backtracking,918273640,10,"[5, ?, ?, ?, ?, ?, 1, ?, ?, ?]","[5, 0, 4, 6, 8, 3, 1, 7, 9, 2]",0.00031065940856933594,237
backtracking,918273640,12,"[10, ?, ?, 11, 7, ?, ?, ?, ?, ?, ?, ?]","[10, 3, 0, 11, 7, 2, 6, 8, 1, 4, 9, 5]",0.0027430057525634766,2747
backtracking,918273640,15,"[11, ?, ?, 9, ?, ?, 4, ?, ?, ?, ?, ?, ?, ?, ?]","[11, 0, 2, 9, 1, 8, 4, 12, 10, 5, 14, 6, 13, 3, 7]",0.0001933574676513672,123

backtracking,1298374610,4,"[?, 1, ?, ?]",null,1.5735626220703125e-05,8
backtracking,1298374610,8,"[?, ?, ?, 7, 3, ?, ?, ?]","[5, 2, 0, 7, 3, 1, 6, 4]",0.00011658668518066406,136
backtracking,1298374610,10,"[?, ?, ?, 4, ?, ?, 3, ?, ?, ?]","[0, 5, 8, 4, 9, 7, 3, 1, 6, 2]",0.00011014938354492188,116
backtracking,1298374610,12,"[?, ?, ?, 8, ?, ?, 1, 6, ?, ?, ?, ?]","[0, 9, 3, 8, 2, 11, 1, 6, 10, 5, 7, 4]",0.0014088153839111328,1428
backtracking,1298374610,15,"[?, ?, ?, 13, ?, ?, 2, 14, ?, ?, ?, ?, ?, ?, ?]","[0, 3, 7, 13, 10, 6, 2, 14, 12, 4, 9, 1, 5, 11, 8]",0.007593870162963867,6163

backtracking,283746599,4,"[?, ?, 3, ?]","[2, 0, 3, 1]",2.3603439331054688e-05,10
backtracking,283746599,8,"[?, 3, ?, ?, 7, ?, ?, ?]","[5, 3, 0, 4, 7, 1, 6, 2]",0.00019693374633789062,184
backtracking,283746599,10,"[?, ?, ?, ?, 3, ?, ?, ?, 0, ?]","[2, 5, 8, 1, 3, 6, 9, 7, 0, 4]",0.0012195110321044922,990
backtracking,283746599,12,"[?, ?, ?, ?, ?, 10, ?, ?, 6, 3, ?, ?]","[0, 4, 11, 7, 5, 10, 2, 9, 6, 3, 1, 8]",0.0007815361022949219,608
backtracking,283746599,15,"[?, ?, ?, 6, ?, ?, ?, ?, ?, 13, ?, 8, ?, ?, ?]","[0, 2, 11, 6, 3, 10, 12, 14, 4, 13, 1, 8, 5, 7, 9]",0.012565374374389648,8115

backtracking,192837460,4,"[?, 1, ?, ?]",null,2.0503997802734375e-05,8
backtracking,192837460,8,"[?, ?, ?, ?, 6, 1, ?, ?]","[3, 7, 0, 4, 6, 1, 5, 2]",0.0001678466796875,163
backtracking,192837460,10,"[?, ?, ?, ?, ?, ?, 0, ?, ?, 1]","[3, 6, 9, 2, 4, 7, 0, 8, 5, 1]",0.0007655620574951172,632
backtracking,192837460,12,"[?, ?, ?, ?, ?, ?, 9, ?, ?, 3, 11, ?]","[2, 5, 8, 10, 1, 4, 9, 0, 6, 3, 11, 7]",0.0037305355072021484,2632
backtracking,192837460,15,"[?, ?, ?, 2, ?, ?, ?, ?, ?, ?, ?, ?, 3, 13, ?]","[1, 5, 9, 2, 0, 8, 14, 12, 10, 7, 4, 6, 3, 13, 11]",0.015180587768554688,9324

backtracking,374829100,4,"[?, ?, ?, 3]",null,2.0503997802734375e-05,16
backtracking,374829100,8,"[?, 6, ?, ?, ?, 0, ?, ?]","[2, 6, 1, 7, 4, 0, 3, 5]",0.00012493133544921875,140
backtracking,374829100,10,"[?, ?, ?, ?, ?, ?, 5, ?, 8, ?]","[3, 7, 0, 4, 9, 1, 5, 2, 8, 6]",0.0014922618865966797,1930
backtracking,374829100,12,"[?, ?, ?, ?, ?, ?, 10, 6, 9, ?, ?, ?]","[0, 4, 7, 5, 11, 1, 10, 6, 9, 2, 8, 3]",0.00033092498779296875,374
backtracking,374829100,15,"[?, ?, ?, ?, 0, ?, ?, ?, ?, ?, ?, 4, ?, ?, 11]","[1, 5, 9, 6, 0, 14, 12, 7, 13, 8, 2, 4, 10, 3, 11]",0.017124652862548828,16302

backtracking,847362900,4,"[?, ?, 3, ?]","[2, 0, 3, 1]",2.1457672119140625e-05,10
backtracking,847362900,8,"[?, ?, ?, 6, 0, ?, ?, ?]","[2, 5, 1, 6, 0, 3, 7, 4]",7.915496826171875e-05,84
backtracking,847362900,10,"[?, ?, 8, ?, 9, ?, ?, ?, ?, ?]","[0, 2, 8, 6, 9, 3, 1, 4, 7, 5]",0.00019431114196777344,156
backtracking,847362900,12,"[?, ?, ?, ?, ?, ?, 3, 5, 7, ?, ?, ?]","[2, 4, 11, 8, 0, 9, 3, 5, 7, 1, 10, 6]",0.004166841506958008,4080
backtracking,847362900,15,"[?, ?, ?, ?, ?, ?, 10, ?, ?, ?, 11, 0, ?, ?, ?]","[2, 4, 7, 12, 3, 13, 10, 5, 14, 1, 11, 0, 8, 6, 9]",0.003983497619628906,3366

backtracking,1092837400,4,"[?, ?, 1, ?]",null,2.288818359375e-05,16
